freeResponse,correctAnswer,score,cosine
a compound made of hydrogen and carbon,molecule that consists only of carbon and hydrogen,1.0,0.8141871094703674
the climbing of water up tubes using adhesion,"occurs because water molecules are attracted to charges on the inner surfaces of narrow tubular structures such as glass tubes, drawing the water molecules to the sides of the tubes",1.0,0.7335466146469116
r group,between the carboxyl group of one amino acid and the amino group of the other,0.0,0.14101560413837433
Bonds between carbons,the number of hydrogen atoms on the triglycerides,0.5,0.5584826469421387
The temperature affects the rate at which the yellow dye diffuses across the membrane.,The higher temperature of left beaker causes faster diffusion of yellow dye in the left beaker.,0.5,0.8529618978500366
Bond,between the carboxyl group of one amino acid and the amino group of the other,0.0,-0.15354955196380615
"A bond that's between 2 molecules, with a proton and electronegative atom",weak bond between slightly positively charged hydrogen atoms to slightly negatively charged atoms in other molecules,1.0,0.776870846748352
"Because they have charge, they move across an electro gradient",ATP is required to move sodium ions against their concentration gradient outside the cell.,0.5,0.6746403574943542
single carbohydrate monomer,single unit or monomer of carbohydrates,1.0,0.8749787211418152
the brain center of the cell,core of an atom; contains protons and neutrons,0.5,0.5240105390548706
molecule that can donate a proton or accept an electron pair,molecule that donates hydrogen ions and increases the concentration of hydrogen ions in a solution,1.0,0.7324633002281189
water molecules surrounding a charged molecule,when a polar water molecule surrounds charged or polar molecules thus keeping them dissolved and in solution,1.0,0.7516607046127319
14 on the PH sca;e,molecule that donates hydroxide ions or otherwise binds excess hydrogen ions and decreases the concentration of hydrogen ions in a solution,0.5,0.48199331760406494
"a nitrogenous base, a five-carbon sugar, and a phosphate group","sugars, phosphate groups, nitrogenous bases",1.0,0.7804952263832092
[Ar] 4s2,"Shells 1, 2, and 3 are full, and shell 4 has two electrons.",1.0,0.5176701545715332
"fatty acids, glycerides, complex lipids, non glycerides","
  lipids like margarine
  wax like the coating on feathers
  phospholipids like cell membrane constituents
  steroid like cholesterol

",0.5,0.7300413846969604
hydrogen is slightly positive while oxygen is negative,"Oxygen is more electronegative than hydrogen, generating a partial negative charge near the oxygen atoms.",1.0,0.7440305948257446
steroids,estradiol and testosterone,0.5,0.3221147656440735
the charges on the molecules,by expelling more cations than it takes in,0.0,0.4601389765739441
amount of substance in an object or substance,anything that has mass and occupies space,0.0,0.5360768437385559
steroids,proteins,0.0,0.5213701128959656
active transport,phagocytosis,0.0,0.43154585361480713
compounds with the same formula but different arrangement of atoms.,molecules that differ from one another even though they share the same chemical formula,1.0,0.7950581312179565
"High heat capacity- helps mammals disperse heat more evenly in the body Heat of vaporization- sweat keeping the human body cooler Solvent properties- dissolving other polar molecules and ionic compounds, like salt.","First, the lower density of water as a solid versus a liquid allows ice to float, forming an insulating surface layer for aquatic life. Second, the high specific heat capacity of water insulates aquatic life or bodily fluids from temperature changes. Third, the high heat of vaporization of water allows animals to cool themselves by sweating.",1.0,0.8863358497619629
the high heat capacity of water allows for heat to be dispersed more evenly in the body,specific heat capacity,0.5,0.7820231914520264
"dioxyribose in DNA and ribose in RNA. DNA has a double-helix, RNA has an alpha-helix",DNA contains deoxyribose and thymine while RNA contains ribose and uracil.,1.0,0.7648351788520813
an element with the same number of protons and different number of neutrons,one or more forms of an element that have different numbers of neutrons,1.0,0.86257404088974
Because of the polar heads and non polar tails of the phospholipids. It has to use the special transporters GLUTS to pass through the cell membrane.,"The plasma membrane is selectively permeable to polar molecules, and a transport protein is required for larger molecules.",1.0,0.8274381160736084
This allows more things like oxygen and carbon dioxide to easily pass through the membrane.,Fluidity allows greater flexibility to the cell and motion of membrane components required for transport.,1.0,0.7692432403564453
1. Phospholipid - the main fabric of the cell membrane 2. Protein - a way of transport or attachment site for materials 3. Cholesterol - functions as a buffer to control temperature 4. Carbohydrates - attach to proteins and allow cells to identify each other,Phospholipids: form the bilayer; Carbohydrates: help in adhesion; Cholesterol: provide flexibility; Integral proteins: form transporters; Peripheral proteins: part of the cell’s recognition sites.,1.0,0.8830127716064453
"They are the ""building blocks"" of macromolecules. When the attach to each other by covalent bonds, they form polymers.",smallest unit of larger molecules called polymers,1.0,0.6453536152839661
"The pH scale is a tools to measure how acidic or basic a substance is. Anything lower than 7 is acidic, and higher than 7 is basic. The pH scale goes up to 14, so since 7 is the mean, substances with a pH of 7 are neutral.",scale ranging from zero to 14 that is inversely proportional to the concentration of hydrogen ions in a solution,1.0,0.8044754862785339
Buffers help the body maintain a certain pH level by either absorbing excess H+ or OH-,substance that prevents a change in pH by absorbing or releasing hydrogen or hydroxide ions,1.0,0.7670005559921265
Hydrogen bonds make the linkage that combines two animo acids.,between the carboxyl group of one amino acid and the amino group of the other,0.0,0.6908161044120789
Groups of atoms that can be found in molecules and give special chemical properties that molecule.,group of atoms that provides or imparts a specific function to a carbon skeleton,1.0,0.8069466352462769
"be lower than 7, the neutral measurement on the pH scale.",decrease,0.5,0.14072762429714203
the attraction between water molecules and other molecules,attraction between water molecules and other molecules,1.0,0.983989953994751
"if the carbons can make a double bond, if it can only make a single bond it is a unsaturated fat. I a carbon can form a triple bond with hydrogens, then that is a saturated fat.",the number of hydrogen atoms on the triglycerides,0.0,0.6457422375679016
a monomer joining with another monomer for an investment of energy to release a water molecule.,hydrolysis,0.0,0.100088931620121
"Inert gases are also known as the Nobel gases, this is Group 18A. This is a group of gases that have all eight electrons on their most outer shell, making it achieve the octet rule.","(also, noble gas) element with filled outer electron shell that is unreactive with other atoms",1.0,0.8313770890235901
Group 1 needs to lose one electron in order to achieve a stable electron configuration. Group 14 needs to gain four electrons in order to achieve a stable electron configuration Group 17 needs to gain one electron in order to achieve a stable electron configuration,"Elements of group 1 need to lose one electron, elements of group 14 need to gain 4 electrons, and elements of group 17 need to gain 1 electron",1.0,0.8728137016296387
"In saturated fats there are only single covalent bonds, making he number of hydrogen atoms attached maximized. In unsaturated fats there are one or more double bonds in the chain.",Saturated fats are solid at room temperature and unsaturated fats are liquid at room temperature,1.0,0.7566268444061279
"Human do not produce the enzyme cellulase, which breaks down cellulose. We do product the enzyme to break down starch, though.","Amylase can digest 1,4 linkage of glucose found in starch whereas it cannot digest the linkage of glucose found in cellulose.",1.0,0.8492926359176636
1. triglycerides -- insulin 2. fatty acids -- olive oil 3. phospholipids -- micelle 4. sterols -- cholesterol,"
  lipids like margarine
  wax like the coating on feathers
  phospholipids like cell membrane constituents
  steroid like cholesterol

",0.5,0.8065198659896851
"Starch is made of a 1-4 or a 1-6 glycosidic bonds, whereas cellulose is made up of glucose monomes linked together by b 1-4 glycosidic bonds.","<span data-math=""\unicode[Arial]{x3B2}"">\unicode[Arial]{x3B2}</span>-1,4 glycosidic linkages are used",1.0,0.744583785533905
"This is a secondary structure, formed by polypeptides folding into a helix shape, stabilized by hydrogen bonds.",type of secondary structure of proteins formed by folding of the polypeptide into a helix shape with hydrogen bonds stabilizing the structure,1.0,0.9133608341217041
4,four,1.0,0.7809557914733887
"can dissociate in water polar ""loves water""",describes ions or polar molecules that interact well with other polar molecules such as water,1.0,0.7352806925773621
go down,decrease,1.0,0.4733532667160034
"h bonds form around a single molecule between water and the O, H, or N in the molecule",when a polar water molecule surrounds charged or polar molecules thus keeping them dissolved and in solution,1.0,0.7519415020942688
cause the structure of the protein to change,denaturation,0.5,0.2556198835372925
a compound with hydrogen and carbon,molecule that consists only of carbon and hydrogen,1.0,0.7820300459861755
the mass of one mole of something,total number of protons and neutrons in an atom,0.0,0.5637913346290588
1-<7= acidic 7= neutral >7-14= basic drastic pH changes can denature proteins causing them to lose function,"The pH scale ranges from 0 to 14, where anything below 7 is acidic and above 7 is alkaline. The bicarbonate system in the human body buffers the blood.",0.5,0.7618606090545654
"cohesion- water sticks to itself, allows for some insects to walk on water adhesion- waters attraction to other things- how plants bring water up their roots high heat of vaporization- takes a lot of heat to make it evaporate, sweating","Cohesion is the attraction between the water molecules, which helps create surface tension. Insects can walk on water because of cohesion. Adhesion is the attraction between water molecules and other molecules. Water moving up from the roots of plants to the leaves as a result of capillary action is because of adhesion. Heat of vaporization is the amount of energy required to convert liquid into gas. This property helps humans maintain homeostasis of body temperature by evaporation.",0.5,0.8885762095451355
fatty acids,major energy source,0.0,0.2584836483001709
glucose is a large molecule and cannot pass through the channels without the use of energy,"The plasma membrane is selectively permeable to polar molecules, and a transport protein is required for larger molecules.",1.0,0.78299480676651
the plasma membrane needs to be able to be permeable to some membranes,Fluidity allows greater flexibility to the cell and motion of membrane components required for transport.,0.5,0.7240367531776428
polar molecules that need to go from lower concentration to higher concentration,\text{Cl}^-,0.0,0.37083590030670166
the pH gets lower,The pH of the solution decreases.,1.0,0.7274003028869629
hydrophilic means polar and attracted to water molecules.,describes ions or polar molecules that interact well with other polar molecules such as water,1.0,0.8420021533966064
an organic compound containing only hydrogens and carbons,molecule that consists only of carbon and hydrogen,1.0,0.7381147742271423
steroid,cholesterol,1.0,0.6382691264152527
Group 1 and group 18,Group 1 and Group 17,0.0,0.9373509287834167
saturated triglycerides have a lot of hydrogens attached to their carbons because they are all single bonded together. Unsaturated triglycerides have less hydrogens bonded to the carbons because they have double bonds between the carbons.,"Saturated triglycerides contain single bonds and are solids at room temperature, while unsaturated triglycerides contain double bonds and are liquids at room temperature.",0.5,0.8150469064712524
1. cohesion is the attraction of water molecules to each other. This is what helps animals walk on water because it creates surface tension. 2. adhesion is the attraction of water molecules to other molecules. This is what creates capillary action and allows for plants to draw water up from their roots. 3. High heat of vaporization is what makes it hard for water to increase or decrease in temperature. This is what helps animals sweat to cool off.,"Cohesion is the attraction between the water molecules, which helps create surface tension. Insects can walk on water because of cohesion. Adhesion is the attraction between water molecules and other molecules. Water moving up from the roots of plants to the leaves as a result of capillary action is because of adhesion. Heat of vaporization is the amount of energy required to convert liquid into gas. This property helps humans maintain homeostasis of body temperature by evaporation.",1.0,0.9404626488685608
carbon-12 has 6 neutrons. Carbon-13 has 7 neutrons.,"Carbon-12 contains <span data-math=""6"">6</span> neutrons while carbon-13 contains <span data-math=""7"">7</span> neutrons.",1.0,0.7381221055984497
the transport of sodium and potassium require active transport which uses energy.,ATP is required to move sodium ions against their concentration gradient outside the cell.,1.0,0.7615324258804321
a 4 ringed lipid.,type of lipid composed of four fused hydrocarbon rings forming a planar structure,0.5,0.6457359194755554
the flexibility of the bilayer.,unsaturated fatty acid tail,0.0,0.37471988797187805
2 oppositely charged ions,ions with opposite charges,1.0,0.7382830381393433
the genetic code for cells,double-helical molecule that carries the hereditary information of the cell,1.0,0.6122494339942932
a molecule that is made up of carbon,any molecule containing carbon (except carbon dioxide),1.0,0.7304296493530273
"A nitrogenous base, which can be either adenine, guanine, cytosine, or thymine (in the case of RNA, thymine is replaced by uracil). A five-carbon sugar, called deoxyribose because it is lacking an oxygen group on one of its carbons. One or more phosphate groups.","sugars, phosphate groups, nitrogenous bases",1.0,0.6761043667793274
amino,amino,1.0,1.0
water loving,describes ions or polar molecules that interact well with other polar molecules such as water,1.0,0.25454047322273254
complex carbohydrates,Polysaccharides,0.0,0.4922976493835449
"hagocytosis begins with the neutrophil or macrophage flowing around the pathogen and engulfing it so that it winds up enclosed in a phagosome (phagocytic vesicle). But this is only the first step, because the more challenging task of destroying the microorganisms remains. Indeed, some pathogens have special, effective mechanisms for frustrating this destruction step. The next step is the fusion of lysosomes with the phagosome. The result is called a phagolysosome. Lysosome are derived from the Golgi apparatus, much like secretion vesicles, but their contents are focused on destroying microorganisms.",The bacteria will survive and possibly will cause illness.,0.5,0.6091150641441345
"Endosomes are membrane-bound vesicles, formed via a complex family of processes collectively known as endocytosis",neutrophils and monocytes,0.0,0.6293736696243286
"A large group of unrelated protein families whose role is to stabilize unfolded proteins, unfold them for translocation across membranes or for degradation, and/ or to assist in their correct folding and assembly.",chemical that helps the protein fold properly,1.0,0.6605145931243896
"The experiment used water (H2O), methane (CH4), ammonia (NH3) and hydrogen (H2) - materials which were believed to represent the major components of the early Earth's atmosphere.",the composition of the gases in the atmosphere,1.0,0.5814714431762695
"DNA is a long polymer with deoxyriboses and phosphate backbone. Having four different nitrogenous bases: adenine, guanine, cytosine and thymine. RNA is a polymer with a ribose and phosphate backbone. Four different nitrogenous bases: adenine, guanine, cytosine, and uracil.",DNA contains deoxyribose and thymine while RNA contains ribose and uracil.,1.0,0.8535503149032593
"fats, oils, waxes, steroids","
  lipids like margarine
  wax like the coating on feathers
  phospholipids like cell membrane constituents
  steroid like cholesterol

",0.5,0.6905102133750916
electrons,outermost shell of an atom,0.0,0.4009603261947632
4 regions of electron density,"three-dimensional conformation of a protein, including interactions between secondary structural elements; formed from interactions between amino acid side chains",0.0,0.625572144985199
Phospholipid bilayer forms the shape and main component of the membrane. Proteins help transport things through the membrane. Carbohydrates form cell markers and recognize other cells. Cholesterol helps to make the fluid more firm in the membrane.,Phospholipids: form the bilayer; Carbohydrates: help in adhesion; Cholesterol: provide flexibility; Integral proteins: form transporters; Peripheral proteins: part of the cell’s recognition sites.,1.0,0.8987582325935364
pH scale is a scale that measures how acidic or basic a substance is.,scale ranging from zero to 14 that is inversely proportional to the concentration of hydrogen ions in a solution,0.5,0.7406880855560303
Fructose molecules are smaller and able to pass through the bag to balance the concentration of the water and the solute but lactose cannot escape the bag because of size.,"Fructose, being a monosaccharide, diffused through the dialysis bag into the distilled water. However, lactose, being a disaccharide, could not diffuse through the dialysis bag.",0.5,0.874925434589386
A polypeptide is a group of polymers made up of amino acids that take place in part of or make up a protein molecule.,long chain of amino acids linked by peptide bonds,0.5,0.7948757410049438
Isotopes,Isotopes,1.0,0.9999999403953552
Hydrogen is a small atom and weighs molecularly very little so it can move very quickly. It has escaped the earth's atmosphere the quickest and therefor overtime is now less abundant than the other gases.,Hydrogen gas is so light with a molecular weight of 1 that the excess diffused into space over time and is now absent from the atmosphere.,1.0,0.8472707867622375
Lipids (cholesterol and steroids),"Cholesterol, which is a lipid and also a steroid, functions here.",0.5,0.7834522724151611
The ratio would decline because the mammoth would lose more 14C the longer it is dead and it would decay gradually to 14N.,The ratio would be higher in the elephant than the mammoth.,1.0,0.7209187150001526
DNA,Hereditary information is stored in DNA.,1.0,0.22402313351631165
The pH scale measures how basic or acidic a solution is. pH is important in living systems because many of the bodies functions could not process if the pH is messed up. Buffers are in the body and help balance the pH by readily absorbing excess H+ or OH- ions.,"The pH scale ranges from 0 to 14, where anything below 7 is acidic and above 7 is alkaline. The bicarbonate system in the human body buffers the blood.",1.0,0.8481999039649963
Cohesion occurs when water molecules are attracted to each other through hydrogen bonding and keep the molecules together at the liquid-gas interface. Cohesion creates surface tension and allows insects to walk across water. Adhesion occurs when water molecules are attracted to other molecules. Plants use adhesion to help transport water from their roots to their leaves. Water has a high heat of vaporization because hydrogen bonding makes it difficult to break apart the bonds to turn liquid water into steam. Sweating occurs in organisms because of heat of vaporization which cools the body and keeps us safe.,"Cohesion is the attraction between the water molecules, which helps create surface tension. Insects can walk on water because of cohesion. Adhesion is the attraction between water molecules and other molecules. Water moving up from the roots of plants to the leaves as a result of capillary action is because of adhesion. Heat of vaporization is the amount of energy required to convert liquid into gas. This property helps humans maintain homeostasis of body temperature by evaporation.",1.0,0.9400449991226196
The body needs energy to balance electrolytes because electrolytes help many bodily functions perform including muscle contractions and transmissions or nerve impulses. The body uses energy to balance the ions of sodium and potassium and dissolve them in the body and transport them into cells.,ATP is required to move sodium ions against their concentration gradient outside the cell.,1.0,0.7908279895782471
triglycerides,Triglycerides,1.0,0.8633416891098022
an integral protein is a membrane protein are permanently attached to the membrane of a cell.,protein integrated into the membrane structure that interacts extensively with the hydrocarbon chains of membrane lipids and often spans the membrane; these proteins can be removed only by the disruption of the membrane by detergents,1.0,0.8460226655006409
a subatomic particle with a neutral charge,uncharged particle that resides in the nucleus of an atom; has a mass of one amu,1.0,0.6672183871269226
DNA,DNA,1.0,1.0
"Proteins- help transport and structure Carbs- on the outside, ID tags Phospholipids- main part of the membrane Cholesterol- help maintin fluidity through type ( unsaturated/ saturated) tails",Phospholipids: form the bilayer; Carbohydrates: help in adhesion; Cholesterol: provide flexibility; Integral proteins: form transporters; Peripheral proteins: part of the cell’s recognition sites.,1.0,0.8214362263679504
"Reactants form products, nothing is created nor destroyed",process leading to the rearrangement of atoms in molecules,0.5,0.5129246711730957
Amino Acid sequence leads to various structure differences which leads to different functions,Different amino acids provide different geometric configurations and thus varied functions.,1.0,0.8081859946250916
"Low numbers are acids, high pH numbers are bases Acids have high levels of H+ and Bases don't have as high of a concentration of H+ Buffers","The pH scale ranges from 0 to 14, where anything below 7 is acidic and above 7 is alkaline. The bicarbonate system in the human body buffers the blood.",0.5,0.7961201667785645
a substance that is able to dissolve other substances,substance capable of dissolving another substance,1.0,0.7339254021644592
local folding of the polypeptide,α helix and β -pleated sheet,0.5,0.4759690761566162
when the solvent is water and the solute is any chemical compound or biomolecule,when a polar water molecule surrounds charged or polar molecules thus keeping them dissolved and in solution,1.0,0.7797499299049377
protein,carbohydrate,0.0,0.809901237487793
hot water in the left beaker,The higher temperature of left beaker causes faster diffusion of yellow dye in the left beaker.,0.0,0.6923334002494812
hydrogen bond,double helix,0.0,0.5082200169563293
a compound existing completely of hydrogen and carbon,molecule that consists only of carbon and hydrogen,1.0,0.806766927242279
hydrogen bonds,Hydrogen bond,1.0,0.8588576316833496
RNA is temporary and used to make DNA,DNA is the genetic material that is passed from parent cells to daughter cells and to future generations.,0.5,0.6750248670578003
unsaturated,unsaturated fat,1.0,0.7768756151199341
move across,specific carrier proteins or pumps that facilitate movement,0.0,0.1620984822511673
electron cloud,how electrons are spatially distributed surrounding the nucleus; the area where an electron is most likely to be found,0.0,0.31248143315315247
shape of a protein,secondary structure found in proteins in which “pleats” are formed by hydrogen bonding between atoms on the backbone of the polypeptide chain,0.0,0.4938719570636749
amount of energy needed to increase or decrease one gram of a liquid to a gas.,high amount of energy required for liquid water to turn into water vapor,1.0,0.8021736741065979
molecules,hydrolysis,0.0,0.7090893983840942
formed by glycerol and 3 fatty acid chains,fat molecule; consists of three fatty acids linked to a glycerol molecule,1.0,0.8299558162689209
breaking of polymers,reaction that causes breakdown of larger molecules into smaller molecules with the utilization of water,1.0,0.4657432734966278
Fats not found within a human body,"fat formed artificially by hydrogenating oils, leading to a different arrangement of double bond(s) than those found in naturally occurring lipids",0.0,0.542717456817627
Large cells,neutrophils and monocytes,0.0,0.37581366300582886
denature the proteins,denaturation,1.0,0.6302706003189087
a large molecule that can be broken up into many sub-moleculesÛÜ,chain of monomer residues that is linked by covalent bonds,0.5,0.5835978388786316
Share electrons to form a large molecule,type of covalent bond that forms between atoms when electrons are shared equally between them,0.5,0.6627684831619263
losing nature,"loss of shape in a protein as a result of changes in temperature, pH, or exposure to chemicals",0.0,0.17152349650859833
One advantage of the fluid membrane in nature is when an animal is in a particularly cold environment. Many fish adapt to cold environments by changing the proportion of unsaturated acids in their membranes.,Fluidity allows greater flexibility to the cell and motion of membrane components required for transport.,0.5,0.7300031185150146
A polymer is a large molecule or macromolecule composed of many repeated subunits. are polymeric carbohydrate molecules composed of long chains of monosaccharide units bound together by glycosidic linkages.,"Phosphates are removed from nucleic acids, but not polysaccharides.",0.5,0.7119675278663635
Substituted hydrocarbons are formed when one or more hydrogen atoms in a hydrocarbon chain or ring is replaced by a different atom or group of atoms.,hydrocarbon chain or ring containing an atom of another element in place of one of the backbone carbons,0.5,0.8631997108459473
A solvent is the liquid in which a solute is dissolved to form a solution.,substance capable of dissolving another substance,1.0,0.7131813764572144
A chemical substance produced in the body that controls and regulates the activity of certain cells or organs.,"chemical signaling molecule, usually protein or steroid, secreted by endocrine cells that act to control or regulate specific physiological processes",1.0,0.8412859439849854
The phosphodiester bond is the link between the carbon atom of one sugar molecule and the carbon atom of another in DNA and RNA.,linkage covalent chemical bond that holds together the polynucleotide chains with a phosphate group linking two pentose sugars of neighboring nucleotides,1.0,0.8335040211677551
The number of atoms of each element is the same on each side of the equation.,statement of a chemical reaction with the number of each type of atom equalized for both the products and reactants,1.0,0.7525060176849365
Group 1 and Group 17 would form strong ionic bonds.,Group 1 and Group 17,1.0,0.5999249815940857
"Amino acids such as valine, methionine, and alanine are nonpolar or hydrophobic in nature and therefore would by found on the interior. Amino acids such as serine, threonine, and cysteine are polar and have hydrophilic side chain and would therefore be found on the surface of the protein.",Polar and charged amino acids will be found on the surface whereas non-polar in the interior.,1.0,0.8776702284812927
Saturated fats are solids at rooms temperature and contain more hydrogen than unsaturated fats. Unsaturated fats are liquids at room temperature and have more crooked tails while saturated fats are linear.,"Saturated triglycerides contain single bonds and are solids at room temperature, while unsaturated triglycerides contain double bonds and are liquids at room temperature.",1.0,0.9053367376327515
Complex carbohydrates,polysaccharides,0.5,0.6044880747795105
A covalent bond is a bond that involves the sharing of electrons between atoms.,type of strong bond formed between two of the same or different elements; forms when electrons are shared between atoms,1.0,0.8389061689376831
DNA,DNA,1.0,1.0
different molecules that are essential to the life of cells,biological macromolecule in which the ratio of carbon to hydrogen and to oxygen is 1:2:1; carbohydrates serve as energy sources and structural support in cells and form the a cellular exoskeleton of arthropods,0.0,0.6842390298843384
break bonds and release energy,break down polymers,1.0,0.5744182467460632
molecules that are necessary for life and are made up of smaller molecules.,large molecule necessary for life that is built from smaller organic molecules,1.0,0.8465648889541626
a hormone is a chemical messenger,"chemical signaling molecule, usually protein or steroid, secreted by endocrine cells that act to control or regulate specific physiological processes",1.0,0.6552934646606445
a substance present in living cells that acts as an instructor for the cell.,biological macromolecule that carries the genetic blueprint of a cell and carries instructions for the functioning of the cell,0.0,0.7337807416915894
cholesterol,"Cholesterol, which is a lipid and also a steroid, functions here.",1.0,0.2360118329524994
movement of particles from a high density to a lower density.,area of high concentration adjacent to an area of low concentration,1.0,0.7434056997299194
everything around us that takes up space.,anything that has mass and occupies space,1.0,0.630195677280426
The attraction of water to other molecules due to the polarity of water.,attraction between water molecules and other molecules,1.0,0.821712076663971
They are found in their exoskeleton.,as an exoskeleton,1.0,0.5675771236419678
A reaction in which polymers are broken down in monomers and a water molecule is consumed in the process,reaction that causes breakdown of larger molecules into smaller molecules with the utilization of water,0.0,0.7992249131202698
"Phosphate group, nitrogenous base, and a pentose sugar","deoxyribose, thymine, and a phosphate group",1.0,0.8055651783943176
A molecule that accepts electrons raising the pH.,molecule that donates hydroxide ions or otherwise binds excess hydrogen ions and decreases the concentration of hydrogen ions in a solution,0.5,0.7859717607498169
Bacteria fighting cells,neutrophils and monocytes,0.0,0.4815457761287689
"An atom or groups of atoms take the ""spot"" of a Hydrogen on the parent chain of a hydrocarbon.",hydrocarbon chain or ring containing an atom of another element in place of one of the backbone carbons,0.5,0.8187730312347412
An ionic bond is a weak chemical bond.,hydrogen bond,0.0,0.49509942531585693
"High heat of vaporization, high heat capacity, and it's a universal solvent","First, the lower density of water as a solid versus a liquid allows ice to float, forming an insulating surface layer for aquatic life. Second, the high specific heat capacity of water insulates aquatic life or bodily fluids from temperature changes. Third, the high heat of vaporization of water allows animals to cool themselves by sweating.",0.5,0.7784590721130371
It has bonded with fossil fuel waste.,Hydrogen gas is so light with a molecular weight of 1 that the excess diffused into space over time and is now absent from the atmosphere.,0.0,0.6828179359436035
1 and 17,Group 1 and Group 17,1.0,0.5677056312561035
Different enzymes,"Amylase can digest 1,4 linkage of glucose found in starch whereas it cannot digest the linkage of glucose found in cellulose.",0.5,0.31082603335380554
A chemical reaction that go back into products once its made into reactants.,"chemical reaction that functions bi-directionally, where products may turn into reactants if their concentration is great enough",1.0,0.8025005459785461
"A macromolecule containing a nitrogenous base, phosphate group, carboxyl group, and sugar rin",biological macromolecule that carries the genetic blueprint of a cell and carries instructions for the functioning of the cell,1.0,0.6849018931388855
The heat it takes for a substance to go from the liquid state to a gaseous one.,high amount of energy required for liquid water to turn into water vapor,1.0,0.7500933408737183
Specific heat is defined as the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius.,the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius,1.0,0.9702855944633484
"covalent bond that joins a sugar molecule to another group, which may or may not be another carbohydrate.",bond formed by a dehydration reaction between two monosaccharides with the elimination of a water molecule,0.0,0.7339022755622864
movement of water,"occurs because water molecules are attracted to charges on the inner surfaces of narrow tubular structures such as glass tubes, drawing the water molecules to the sides of the tubes",0.0,0.3394976258277893
DNA,double helix,0.0,0.42174360156059265
matter,hydrolysis,0.0,0.5017309188842773
Any large group of organic compounds that occur in food.,biological macromolecule in which the ratio of carbon to hydrogen and to oxygen is 1:2:1; carbohydrates serve as energy sources and structural support in cells and form the a cellular exoskeleton of arthropods,0.0,0.6786730289459229
"The lipid tails reject polar, or partially charged, molecules, which include many water-soluble substances","The plasma membrane is selectively permeable to polar molecules, and a transport protein is required for larger molecules.",0.5,0.8180203437805176
nonpolar,methyl,0.0,0.6904945969581604
help reaction with water that causes a compound to breakdown,break down polymers,1.0,0.5684444904327393
"has a single polypeptide chain ""backbone"" with one or more protein secondary structures, the protein domains","three-dimensional conformation of a protein, including interactions between secondary structural elements; formed from interactions between amino acid side chains",1.0,0.8316998481750488
monosaccharides,monosaccharide,1.0,0.8748329877853394
dehydration synthesis,dehydration Synthesis,1.0,0.9038819074630737
Liquid in the body that contains ions that help the body function properly,"ion necessary for nerve impulse conduction, muscle contractions and water balance",0.5,0.666759729385376
group 1 and 17,Group 1 and Group 17,1.0,0.7163060307502747
We don't have the digestive enzymes that would break it down like cows do,"Amylase can digest 1,4 linkage of glucose found in starch whereas it cannot digest the linkage of glucose found in cellulose.",0.5,0.7275905013084412
carbon,base,0.0,0.6061211228370667
the ability to combine and chemically bind with each other,the ability to combine and to chemically bond with each other,0.5,0.9337593913078308
histone proteins to form chromatin,in the nucleus,0.0,0.5085316300392151
the ability of water molecules to stay together and not rupture.,tension at the surface of a body of liquid that prevents the molecules from separating; created by the attractive cohesive forces between the molecules of the liquid,1.0,0.7161197662353516
"monomers release water molecules as byproducts, to put things together","(also, condensation) reaction that links monomer molecules together, releasing a molecule of water for each bond formed",0.5,0.8023999929428101
the mass of an atom,calculated mean of the mass number for an element’s isotopes,0.0,0.6583758592605591
C12: 6 neutrons C13: 7 neutrons,"Carbon-12 contains <span data-math=""6"">6</span> neutrons while carbon-13 contains <span data-math=""7"">7</span> neutrons.",1.0,0.7316750288009644
pH less than 7,molecule that donates hydrogen ions and increases the concentration of hydrogen ions in a solution,0.5,0.464528888463974
2 or more monomers binding together with covalent bonds to form a more complex molecule,chain of monomer residues that is linked by covalent bonds,1.0,0.7712992429733276
how much energy that is needed to raise the temperature 1 degree,the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius,0.5,0.7874809503555298
This happens because there is a hydrophobic head and a hydrophilic tail. The Heads like to interact with water while the tails do not so they form into a membrane allowing the heads to interact with polar molecules and the tails to be shielded from the polar molecules and only interact with non polar molecules,Phospholipids are amphipathic molecules. The polar head faces towards water and the nonpolar fatty acid tails face towards other fatty acid tails.,1.0,0.8239837288856506
"organic compound, has nitrogen","type of nitrogenous base in DNA and RNA; cytosine, thymine, and uracil are pyrimidines",1.0,0.5657209753990173
a positively charged particle by losing its electron,positive ion that is formed by an atom losing one or more electrons,1.0,0.7657603621482849
group 1 and group 17,Group 1 and Group 17,1.0,0.7332730293273926
1) Triacylglycerols or Triglycerides- margarine 2) Steriods- Cholesterol 3) Phospholipids- Phospholipid bilayer of cellular membranes 4) Fatty Acids- saturated and unsaturated fats,"
  lipids like margarine
  wax like the coating on feathers
  phospholipids like cell membrane constituents
  steroid like cholesterol

",0.5,0.8182673454284668
Proline and cystenine would be found on the surface of a soluble protein because they are polar and would help them mix well with water. Phenylalanine and Tyrosine would be found on the interior because they are non polar so they would mix well with water,Polar and charged amino acids will be found on the surface whereas non-polar in the interior.,1.0,0.8218562602996826
"phospholipids, glycolipids, cholesterol and proteins",phospholipids and cholesterol,0.5,0.8290334939956665
